1101,1046,1039,1033,1015,929,codigos_movimentos_temas,id_documento,acertou_1101,acertou_1046,acertou_1039,acertou_1033,acertou_1015,acertou_929
0.0022317007610572395,0.0022503487426329674,0.9981018593590276,0.00037170569297338067,0.00026697427901090846,0.002145123646267735,85409;1039,"1,90028201182602E+016",1,1,1,1,1,1
0.0007069271118070794,0.02316154326319498,0.9991541067652223,9.106378885445724e-05,0.0002687645300557132,0.03407028438686681,1039,"1,90063201182603E+016",1,1,1,1,1,1
0.0018326372180725611,0.6442027749302173,0.00011605360202922553,0.012137732474627357,2.9975684968901393e-05,0.20388606029114503,85763,"1,96074202182606E+016",1,0,1,1,1,1
0.005475210852860538,0.02294964570305446,0.00014109313541515184,0.7958009268808108,0.0012584067620533708,0.0025373118865002187,85471;1033,"1,96226201582607E+016",1,1,1,1,1,1
0.000284106092639421,0.05492586271015787,0.6093208690141191,0.008414129753740576,0.00016423571141875465,0.1272303644513011,1039,"2,18483201482601E+016",1,1,1,1,1,1
0.0003123317996799971,0.0008939226918702785,0.9999998177965242,9.44735089571537e-05,0.00018595153593356506,0.000577210218126879,1039,"2,23537201582601E+016",1,1,1,1,1,1
0.0011617174017980643,0.0010305564834906023,0.9999930715535257,0.0006657524718046179,0.00013130199606533984,6.446032457799511e-05,1039,"2,29017201182603E+016",1,1,1,1,1,1
0.0014171687118757128,0.0016147421375003303,0.9999464720642048,4.216092045797975e-05,0.0008717441198514607,0.0020270081135086064,1039,"2,37949200882603E+016",1,1,1,1,1,1
0.0019984608796369025,0.6076656176185347,0.011136438518197043,0.0010030100968812473,0.0014367391672737925,0.17181630013821106,85763,"2,46130201982604E+016",1,0,1,1,1,1
0.0014028280599782629,0.0032794012463479858,0.999987402063961,0.0001948757195627616,0.00010254452084588203,0.0005869587621286508,1039,"2,47356201582601E+016",1,1,1,1,1,1
0.0014699283242006604,0.0058524893736433305,0.999974410660285,8.42482484209307e-05,0.00024068786562157478,0.006796578607495921,1039,"2,53188201182601E+016",1,1,1,1,1,1
0.00015567153070153943,0.10386200968065408,0.9606864264441249,0.0008005478926293905,0.00028032714484648987,0.13013700446707288,1039,"2,59654201182601E+016",1,1,1,1,1,1
0.0004874016429425016,0.0023907365220386906,0.9999998943865949,6.33214024144479e-06,0.00019261043186611233,0.0018077452098643066,1039,"2,877502014826E+016",1,1,1,1,1,1
0.0020570665540875885,0.005774234807978022,0.9999346770987378,2.5387787309525024e-06,0.0007554939042018974,0.016992869286367167,1039,"2,94160200482606E+016",1,1,1,1,1,1
0.009104111787272082,0.38200366123075513,0.018449769254903204,0.002266807267408066,0.0002812772373756231,0.07113677275918612,85763,"3,027202002826E+016",1,1,1,1,1,1
0.0018278266692588938,0.14754850809863984,0.19229322786908543,0.0006383110720244581,0.00024654554708119017,0.13515440718431065,85763,"3,13894200782607E+016",1,1,1,1,1,1
0.006496998489881218,0.015097861849409627,7.695782191171202e-05,0.8954394524295319,0.0010631563341819204,0.001178087652485285,85471;1033,"3,21441201482602E+016",1,1,1,1,1,1
0.0004962761444874893,0.010021169651862512,0.9999667717395024,9.378359097313561e-05,0.0010312049807226077,0.0028063957172819684,1039,"3,25964200982603E+016",1,1,1,1,1,1
0.00044108557979731343,0.003679074866707221,0.9999778371775407,0.00013992309004425753,0.0005577625839444214,0.00725160610937224,1039,"3,30642201482601E+016",1,1,1,1,1,1
0.9974136887760714,0.0004532647776473945,0.0001438813214213225,0.0001076520525138345,0.0011463233595637862,4.8746597927940725e-05,84999;85609;1101,"3,32471201482605E+016",1,1,1,1,1,1
0.0013751094746219917,0.07385064080118904,0.0002649870228629548,0.06845269714852917,0.00031119648549424975,0.4715263243729501,85583;85623;85677;85763,"3,49087201582602E+016",1,1,1,1,1,1
0.0026627247062573534,0.11916461201341468,0.0015491411910863186,0.00554639440619251,0.0005475116226979804,0.30609412373837497,85623;85763,"3,55798201482601E+016",1,1,1,1,1,1
0.0010313549959833478,0.002066128677306132,0.9998348881001661,0.00018908068408608774,0.00030232207468872325,0.003859273487140223,1039,"3,66840200982603E+016",1,1,1,1,1,1
0.9959765670046806,0.0005778067584036259,0.00014660371661513703,9.794131136279648e-05,0.001208276847378635,7.787698836829019e-05,1101,"3,70423201482605E+016",1,1,1,1,1,1
0.000457876142412661,0.1289229545755366,0.0010899434752127772,0.13820220970899158,5.99816371105205e-05,0.07298431496226437,85763,"3,73640202182603E+016",1,1,1,1,1,1
0.9840382614179328,0.0019973865830432798,4.881415789498458e-05,0.00014306658656776248,0.0016082367900551167,0.0002063758935823983,1101,"3,75619201482605E+016",1,1,1,1,1,1
0.00024130549938581724,0.021906313172188135,0.8930786523108152,0.0002298848868504495,0.0002747513259861829,0.13631147254953094,80718;1039,"3,78098201682603E+016",1,1,1,1,1,1
0.002018785819381367,0.5182477980931797,0.005537985738625556,0.002519164004544063,0.0008967028772812654,0.10220343151610581,85763,"3,819052003826E+016",1,0,1,1,1,1
0.0015091254553126405,0.05848011403947903,0.0001441861930574217,0.12990784435228778,0.0005072799666798645,0.4096558272209917,85583;85623;85677;85763,"3,96873201682601E+016",1,1,1,1,1,1
0.001393565174857342,0.08322758598910313,0.665101101789692,0.00037929618108236546,0.0001426456650731171,0.2614091153719686,1039,"4,04188201082605E+016",1,1,1,1,1,1
0.0009761634039615245,0.0041449153228713086,0.999860133646894,0.00011612749710366896,0.00040442429730534675,0.001689441720712027,1039,"4,15007201482604E+016",1,1,1,1,1,1
0.0016511993597352638,0.21558086294001017,0.0008881627019045517,0.0024513194040107723,0.0002806724405315703,0.5630105163297642,85763,"4,15846201782603E+016",1,1,1,1,1,0
0.001454932457975544,0.014714336371629604,0.9995874113162506,3.72428702214264e-06,0.00032220903959329485,0.07289540632857772,1039,"4,215252015826E+016",1,1,1,1,1,1
0.993979382926425,0.0005834118071286529,0.0001622378384713734,0.0006690966466540463,0.0011176035723816456,1.3857778383453785e-05,1101,"4,29934201482604E+016",1,1,1,1,1,1
0.011628571184007331,0.008262103581100492,0.0002105850275915896,0.07060201496488996,0.5242298054653413,0.00024829720036350993,80101;80554;84999;1015;1101;89955,"4,56453201482603E+016",0,1,1,1,1,1
0.0006987551614637827,0.0015479262351511683,0.9999993158931826,0.0002694699821816215,0.0003790233119607065,0.00015312757401152746,1039,"4,71976201282604E+016",1,1,1,1,1,1
0.0005900809714403798,0.3832368982268026,0.0018418285970282942,0.0037605042698258106,0.0015476021910592584,0.372190058311075,85763,"4,74579201582604E+016",1,1,1,1,1,1
0.0010148432229687484,0.22258360247838932,0.03247852478034989,0.37997820081098527,0.0001448655030588937,0.06431671866007806,80718;85456;1039,"4,92158200982604E+016",1,1,0,1,1,1
0.0007436609546600307,0.030364870960489468,0.9953788595337254,0.0008998220476392514,0.000327854699233167,0.004791903739816266,1039,"5,01347201082603E+016",1,1,1,1,1,1
0.00282867325776416,0.40863509611757604,0.005935304234024911,0.008855758053249466,0.0008540994517368939,0.03798009892408595,85763,"5,01751201282607E+016",1,1,1,1,1,1
0.00138045351528,0.13210266136770032,0.0829982123480871,0.0004189129990213894,0.0002339323788500636,0.686523730631682,85763,"5,133592006826E+016",1,1,1,1,1,0
0.003892049805320077,0.4189841146795947,0.0022467531973917754,0.007446513606453093,0.0021963554250636276,0.0254802814134118,85763,"5,22849202082601E+016",1,1,1,1,1,1
0.0004185463860334872,0.022087323008321162,0.9865860837835086,0.004547123283569505,0.00023285447829097007,0.011885933196467125,1039,"5,271352011826E+016",1,1,1,1,1,1
